time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.2600000000000007,-0.0421815358204,-0.231923424475,11.7995004713,6.18266481664,0.00102609875998,0.0,-0.0709903683306,-0.640341743737,2.89553059976,-0.0708461567194,0.0183140813232,0.0,439.43488206513996,441.4373494075068,440.20279118788096,439.2531820537881
1.3200000000000007,-0.046461815353,-0.272025426683,11.9720686304,6.17883362482,0.00244994584733,0.0,-0.0717903749956,-0.696733655125,2.85678691672,-0.0526365040536,0.0328115591879,0.0,400.01106009287696,401.3292552390295,399.2225606445993,400.87706943781814
1.3800000000000008,-0.0508193661659,-0.315691380316,12.143432074,6.17558356862,0.00455903025809,0.0,-0.0736398132673,-0.759083469557,2.85528026387,-0.0574191555584,0.0394615850588,0.0,412.89572367447636,413.48263195122485,413.19524475535326,412.77118509251665
1.4400000000000008,-0.0553465786326,-0.363596332448,12.3187293085,6.17201881497,0.0066657897946,0.0,-0.0775075608106,-0.838091935676,2.98755084203,-0.0637293601228,0.0245685753878,0.0,456.17334680591097,454.98302432592624,457.3935674100126,456.8883579852411
1.5000000000000009,-0.0601321404581,-0.41606419047,12.4996545032,6.1678681441,0.00813643192229,0.0,-0.0821512913464,-0.911205238289,3.04306792537,-0.083240107602,0.0243947185562,0.0,432.76270900670545,432.7481776158767,434.11685770701223,432.4726359363606
1.560000000000001,-0.0652344848026,-0.473132484677,12.6849894717,6.16302524917,0.00993792351319,0.0,-0.0880918713136,-0.991544866307,3.13441946081,-0.0760931795271,0.0394057030279,0.0,444.63084796307925,445.8592393363044,444.4389174573077,445.01904272239597
1.620000000000001,-0.0707070227412,-0.534814836102,12.8732761107,6.158621227,0.0119223907544,0.0,-0.0945230037927,-1.0649363779,3.14169546127,-0.0684983049362,0.0157528273311,0.0,419.7121462724259,417.65466195996413,417.7279902908008,418.3851935704686
1.680000000000001,-0.0766520911818,-0.601544230549,13.0664626676,6.15484440855,0.0136028993907,0.0,-0.103793913366,-1.15976440918,3.29731109985,-0.0536790486738,0.0452610515769,0.0,464.45356686495273,466.7623365958486,465.3951122017695,466.5508541220153
1.740000000000001,-0.0831187514675,-0.673327957199,13.2634239691,6.15192866177,0.0165071673142,0.0,-0.111997534214,-1.23330518045,3.26807658954,-0.0399932753724,0.0540461412341,0.0,407.183433589439,407.97029156984667,406.57885221106335,407.80148107663
1.8000000000000012,-0.0902357545122,-0.750400366999,13.4648556671,6.14954839965,0.0196762343279,0.0,-0.125592929687,-1.33599149173,3.44568979438,-0.0390343817525,0.0502413806817,0.0,472.9790748800549,472.68758787182367,474.11168474092267,474.18466479210673
